Einstellung:          N          E[N_in]    V[N_in]           N_in      π         σπ
5, 3, 16             100         78.5398    16.8548           88       3.52      0.164218
205, 29573, 139968   100         78.5398    16.8548           80       3.2       0.164218
5, 3, 16            10000        7853.98    16.8548           8750     3.5       0.0164218
205, 29573, 139968  10000        7853.98    16.8548           7768     3.1072    0.0164218
5, 3, 16            100000       78539.8    16.8548           87500    3.5       0.00519304
205, 29573, 139968  100000       78539.8    16.8548           78429    3.13716   0.00519304
5, 3, 16            1000000      785398    16.8548           875000   3.5       0.00164218
205, 29573, 139968  1000000      785398    16.8548           785380   3.14152   0.00164218
